Position,Track Name,Artist,Streams,URL,country
1,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,344644,https://open.spotify.com/track/17iGUekw5nFt5mIRJcUm3R,Vietnam
2,Phải Chăng Em Đã Yêu?,Juky San,317180,https://open.spotify.com/track/3wGx3gYPjECKZazGNuPEX2,Vietnam
3,Nàng Thơ,Hoang Dung,287727,https://open.spotify.com/track/6rVaOdWvFaNyVVXda0NPJy,Vietnam
4,Tình Bạn Diệu Kỳ,Ricky Star,271351,https://open.spotify.com/track/2f8Ew6sB7KHlTiH9NTLvVM,Vietnam
5,Sinh Ra Đã Là Thứ Đối Lập Nhau,Emcee L (Da LAB),208405,https://open.spotify.com/track/6IAqflHsPVm4EpYghXauX7,Vietnam
6,Bước Qua Mùa Cô Đơn,Vũ.,208357,https://open.spotify.com/track/7wkX67ruxr3x2GFz6vyIX9,Vietnam
7,At My Worst,Pink Sweat$,199819,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH,Vietnam
8,Lỡ Say Bye Là Bye,Lemese,192270,https://open.spotify.com/track/2EMbVMhUtYNfuAhTi9HvBk,Vietnam
9,Gác Lại Âu Lo,Da LAB,173221,https://open.spotify.com/track/6HpDKKSDZ8QpSHfikENIBC,Vietnam
10,Chuyện Rằng,Thịnh Suy,163661,https://open.spotify.com/track/3VOeGtJwJh2jslvQAFaaEn,Vietnam
11,Trên Tình Bạn Dưới Tình Yêu,MIN,162782,https://open.spotify.com/track/5zH2inEP6THOY8tomr3DdZ,Vietnam
12,từ thích thích thành thương thương,AMEE,159815,https://open.spotify.com/track/1fh5Sf3fFESFOS8D82RQiI,Vietnam
13,Gặp Nhưng Không Ở Lại,Hiền Hồ,158739,https://open.spotify.com/track/3pyHABNUu0QxeyH1x8p7yf,Vietnam
14,Đi Về Nhà,Đen,148124,https://open.spotify.com/track/7LVrrX8pkzI9fMF88nGabt,Vietnam
15,Một Mình Có Buồn Không,Thiều Bảo Trâm,147186,https://open.spotify.com/track/7ne0bfecn1o29bXC0Xblj2,Vietnam
